ID,video,vs,subs,text
4378,disgust,neutrality,neutrality,Ik heb iets anders ontdekt.
3530,anger,neutrality,neutrality,"Jij, fiets alsjeblieft even naar het centrum voor de ballonnen."
1233,anger,anger,sadness,Ook voor ons. Wij kregen een kindje en... toen had je die miskraam.
2711,neutrality,neutrality,neutrality,Dank je wel.
2046,neutrality,neutrality,neutrality,Het is ook belangrijk dat iemand 't hoofd koel houdt.
2658,sadness,anger,anger,Als dat echt zo was dan had je me dit nooit geflikt.
449,happiness,happiness,neutrality,"Hee, ik heb een nieuwe locatie voor de bruiloft geregeld."
369,surprise,sadness,sadness,"Tot de dood ons scheidt, dat duurt niet lang, he."
2912,disgust,neutrality,neutrality,Ze doet dit voor Bing. Ze zegt 't niet uit zichzelf.
2305,disgust,surprise,anger,Maar hoe... Dit kan niet. Kennelijk wel.
2904,anger,anger,anger,"Jij hebt ervoor gekozen om m'n huwelijk op 't spel te zetten. Daar hebben wij niet om gevraagd, maar we hebben 't opgelost. Ik ben veel beter af zonder jou."
4651,neutrality,happiness,fear,En ik wil 't heel graag nu afmaken. Ik heb namelijk 'n deadline. Ik heb met Spectrum' afgesproken... dat ze 't morgen al plaatsen.
346,disgust,neutrality,neutrality,Alsof wij nooit extreme dingen hebben gedaan.
1350,anger,anger,neutrality,Ik ben dan misschien iemand zonder mening... maar Sjoerd heeft 't hier moeilijk mee.
649,fear,surprise,surprise,Zijn er problemen thuis?
3334,disgust,neutrality,neutrality,Echtheid. Die willen mensen zien die durven laten zien dat ze onzeker zijn. Die janken. Die ook filmen als het slecht gaat.
2822,neutrality,surprise,neutrality,Geen spoor?
1900,sadness,sadness,happiness,Ik ben ook niet klaar met jou.
3676,fear,neutrality,neutrality,"Het is blijkbaar makkelijker om 'n rekening te blokkeren, dan om hem te heropenen."
1211,disgust,sadness,neutrality,"Ik wil alleen een kind en een leven met jou, maar Teddy heeft me nodig."
715,anger,fear,neutrality,Waar is ze?
2695,neutrality,sadness,sadness,Laten we dit allebei zien als een afsluiting.
629,surprise,anger,neutrality,Waar is ze?
8361,disgust,neutrality,surprise,"Dat geloof ik niet, dat het er niet meer is."
110,surprise,neutrality,happiness,Leon. Dank je.
3002,anger,neutrality,sadness,Thijs heeft inwendig zware beschadigingen opgelopen.
3942,sadness,neutrality,neutrality,misschien komt het dan weer goed tussen jou en Thijs.
3468,neutrality,sadness,sadness,Ik ben een eikel.
396,happiness,surprise,sadness,"Als je van iemand houdt, wil je trouwen. Dan doet leeftijd er niet meer toe. Dat begrijp jij natuurlijk niet."
3306,happiness,happiness,happiness,"Als je 't feest nog 'n keer over wil doen, kan 't altijd hier."
412,anger,anger,anger,Achterbakse bitch. Je hebt gewoon maandenlang gelogen.
3472,fear,sadness,sadness,"Maar Kas, ik wil dat je weet dat... dat wat de uitslag ook is... ik neem jou niks kwalijk."
4163,surprise,fear,neutrality,Je hebt het toch weleens eerder gedaan? Kun je niet gewoon doen alsof hij 'n patient is?
67,neutrality,sadness,neutrality,"Heeft ze hem laten vermoorden? Weet ik niet, echt niet."
1002,surprise,surprise,surprise,Dat weet je zeker?
5688,fear,anger,happiness,Vriendschap is belangrijker dan geld.
1074,disgust,fear,surprise,"Dat snap ik. Je zegt net zelf dat Thijs zich nu laat testen, toch? Wat als ie geschikt is?"
3578,disgust,neutrality,neutrality,"Neem mijn auto, we redden ons wel."
1292,sadness,sadness,sadness,Het zit niet goed.
2591,neutrality,neutrality,neutrality,Heb geinformeerd naar de toestand van Teddy… maar van m'n collega's hoorde ik dat Rik nu geopereerd wordt.
2949,neutrality,neutrality,anger,Alsof jij er wat aan kan doen.
7659,anger,anger,neutrality,Rikki weet hoe ze dat moet vertellen.
3418,anger,fear,anger,Niet zeggen. Dit kan zo echt niet langer.
4965,happiness,happiness,neutrality,"Nee, niks meer gehoord."
8229,anger,neutrality,disgust,Per ongeluk. Op die foto leek 't net alsof ze aan 't zoenen waren... en toen heeft mama me uitgelegd dat 't niet zo was. En ik geloof haar en niet hem.
351,neutrality,anger,anger,Geen behoefte aan.
2160,neutrality,sadness,disgust,"Een paar shotjes en ik ga al out, wat een afgang."
3885,neutrality,anger,neutrality,Dan kies je een datum en een tijd.
399,happiness,happiness,neutrality,Laten we even gaan zitten.
980,neutrality,neutrality,neutrality,"Ja, een halfjaar of zo."
1219,neutrality,fear,anger,Wil je naar me luisteren en dan pas beslissen hoe je hiermee omgaat?
4386,neutrality,neutrality,disgust,"Hij heeft een strafblad. Fraude, witwassen, omkoping."
2044,neutrality,neutrality,neutrality,"Ik niet, want als croupier zal ik nuchter moeten blijven"
7721,neutrality,neutrality,fear,"Ik ook, maar als ze niet lekker is... Haar afweer is nog niet helemaal in orde. Ze is nog zo kwetsbaar."
514,neutrality,neutrality,happiness,"Ja, ik laat het je weten als er iets verandert. Thijs... ik hou van je. Ik wil dat je dat weet. Doei."
4436,neutrality,neutrality,neutrality,Iemand heeft bij de bekend dat hij schuldig is aan de fraude. Ene Hamersma.
4737,neutrality,surprise,surprise,sorry. Wat?
5766,neutrality,happiness,surprise,Ja?
4344,neutrality,neutrality,neutrality,"Ja, z'n 'image'."
5383,neutrality,happiness,neutrality,"Fruit, lekker. Deze is voor Teddy."
3347,neutrality,neutrality,sadness,Ik wil niet tussen jou en je moeder komen.
3105,neutrality,anger,anger,Je beseft dat Nina hier doodongelukkig van wordt?
4252,happiness,happiness,happiness,"Teddy haalt 't waarschijnlijk, dankzij jou."
1138,happiness,happiness,neutrality,Ik ben er.
663,happiness,happiness,anger,Je gedraagt je als 'n idioot.
814,neutrality,sadness,sadness,Ik hou m'n hele leven spijt als ik niet met 'm trouw.
1240,sadness,neutrality,neutrality,Ik moet naar het ziekenhuis
3186,anger,anger,anger,Dus gooi je m'n hele priveleven op internet?
2893,neutrality,fear,surprise,"Maar schat, een time- out zou ik nog kunnen begrijpen, maar... Is dat niet 'n betere oplossing?"
3164,neutrality,sadness,sadness,Dank je. Mijn vader moet de rest van z'n leven medicijnen slikken... en het heeft helemaal niks veranderd. Teddy vecht nog steeds voor haar leven.
510,neutrality,anger,neutrality,Ik heb net dokter Lagerman gesproken.
1893,anger,fear,sadness,Ik wil je helemaal niet kwijt. Jij bent belangrijker dan wat dan ook.
618,neutrality,surprise,neutrality,Gaat alles goed hier?
5810,neutrality,sadness,fear,Dat zeg je omdat je anders je dochter kwijtraakt.
7421,neutrality,anger,anger,Jij zeurde maar door over Felix.
3176,neutrality,anger,disgust,"Dat ze met me op de foto willen ok, maar dit gaat wel heel ver."
164,neutrality,neutrality,neutrality,Wat heeft Marcus je allemaal verteld over de afgelopen weken?
3128,neutrality,sadness,neutrality,Heb je veel pijn?
1552,neutrality,happiness,neutrality,"Kom nou hier, het is ok."
1765,neutrality,neutrality,neutrality,Maar vrijheid lijkt me in jouw geval toch een vooruitgang.
2117,surprise,surprise,anger,Weer. Altijd geluk.
4448,neutrality,neutrality,neutrality,Misschien was hij bang om ontmaskerd te worden. Dacht hij: ik ga zelf naar de voor strafvermindering.
97,neutrality,surprise,neutrality,"Wat heeft die vrouw tegen Ludo? Weet ik niet, ect niet."
4283,neutrality,sadness,neutrality,"Sjoerd zat er zo doorheen, door dat hele gedoe met Aysen en Teddy."
4584,happiness,neutrality,surprise,Jij denkt iemand binnen Sanders Inc.?
3952,neutrality,neutrality,neutrality,Ik kom ook net uit het ziekenhuis. Ik was bij Rik op bezoek. Hij nam me mee naar Teddy.
3534,happiness,surprise,neutrality,"ok, en wat houdt dat dan in?"
2062,surprise,surprise,neutrality,"En als je haar vindt, wat dan?"
1799,surprise,neutrality,disgust,"Kay, ik wil geen winterwandeling voor twee. Of chocolademelk bij 'n haardvuur."
2853,anger,anger,anger,Je hebt niks meer met haar te maken. Ik verbied je om te komen.
1155,neutrality,sadness,anger,Ze is niet jouw dochter.
5146,happiness,happiness,happiness,"Ja, dat is een goed plan. Wij dachten eerst aan wijn en cocktails."
7527,neutrality,neutrality,neutrality,Die geste heb ik zeer gewaardeerd. Maar dit staat er los van.
6603,neutrality,neutrality,happiness,"Als jij me een lijstje kunt geven dan pleeg ik wat telefoontjes en leg ze uit waarom 't veel beter is om nu te verkopen, aan mij."
763,neutrality,neutrality,happiness,Goed.
2582,sadness,sadness,neutrality,Is er nog nieuws?
2649,disgust,disgust,anger,Wat? Dat je leugens zijn uitgekomen?
3661,neutrality,neutrality,neutrality,Ook al betekent dat dat iemand anders er vanavond niet is.
2439,neutrality,happiness,happiness,Net zo mooi als op onze bruiloft.
2637,anger,anger,anger,Je liegt.
148,neutrality,neutrality,neutrality,Laat Ludo zijn eigen mensen erop zetten.
658,neutrality,sadness,neutrality,Ik weet niet of het er wel nog steeds is.
1053,neutrality,neutrality,sadness,"Luister, ik ga niet dood of zo."
2012,neutrality,neutrality,neutrality,Heeft hij Malena misschien gevonden?
3621,neutrality,anger,happiness,Mijn pa is ook een lul. Daar heb ik me heel lang druk om gemaakt. Maar nu bestaat ie niet meer voor me. En het gaat prima zonder hem.
382,happiness,happiness,happiness,Dan ben ik toch alleen maar heel blij voor jullie.
2583,neutrality,neutrality,neutrality,"Nee. Maar Waterman is een goede arts, dus... Heb je al iets van Sam gehoord?"
1760,sadness,fear,surprise,Waarom doe je dit?
2080,neutrality,sadness,neutrality,"Ja, maar ik heb jou ook nodig."
295,sadness,fear,neutrality,Heeft ze je nog benaderd na de laatste aanslag?
1340,disgust,anger,fear,Het belangrijkste is dat ik zo snel mogelijk op die operatietafel lig.
5007,neutrality,neutrality,happiness,"Ik ben superenthousiast, maar we hadden 't net over Rikki."
3846,sadness,sadness,sadness,"Dat moet hij zelf beslissen, het is een zware operatie. Daar weet u alles van."
2292,sadness,sadness,neutrality,Heb je al iets tegen Sjoerd gezegd?
2010,neutrality,neutrality,neutrality,Waar is je vader?
989,surprise,surprise,surprise,Hm?
646,surprise,surprise,fear,"Sam, zullen we dit eerst even rustig bespreken?"
3996,happiness,sadness,neutrality,"Met jou, met Teddy. Met ons."
3307,neutrality,sadness,sadness,"Vind ik heel lief, maar m'n hoofd staat er even niet naar."
1252,neutrality,sadness,neutrality,Hij wil graag bij Teddy zijn.
6614,neutrality,neutrality,surprise,Precies. Dus?
8296,anger,disgust,anger,Hij forceert 'n kans. Hij staat hier toch niet voor niks voor de deur?
5285,sadness,neutrality,neutrality,Wat?
6300,surprise,happiness,surprise,Meen je dat? Dus 't komt weer helemaal goed met haar?
198,neutrality,neutrality,neutrality,"Geloof me, dit is de enige kans waarop je jezelf kunt redden."
368,anger,happiness,happiness,"Lijkt me logisch, ik hou van je."
3809,sadness,disgust,sadness,Laat maar.
7303,anger,anger,neutrality,Jij weet dat er ook meer is.
1983,happiness,happiness,neutrality,"ok, dan vraag ik m'n vader."
81,anger,disgust,disgust,"Ik mag niet eens informatie verstrekken, laat staan... je vraagt me in te grijpen in het genezingsproces van Malena. Met de gevolgen die dat voor haar kan hebben. Dat is tegen alles waar ik als arts voor sta, Ludo."
161,disgust,fear,neutrality,Heb je Marcus gesproken?
1226,sadness,fear,neutrality,ja. Die had ik weggebracht omdat ik als enige niet gedronken had.
3265,happiness,sadness,sadness,Wat jammer dat het niks is geworden met jou en Robert.
842,disgust,happiness,neutrality,"Ze wilde bij mij komen wonen. Ga eerst even rustig met je moeder praten, zei ik."
652,anger,anger,anger,Mama begrijpt niet hoeveel 't voor me betekent om met 'm te trouwen.
6816,neutrality,neutrality,happiness,"Ik denk dat 't wel goed voor je is. Dingen ondernemen, afleiding zoeken. Het valt best mee."
4585,sadness,disgust,disgust,Die vrouw is erop gebrand om mij te ruineren. Ze heeft er vast 'n vermogen voor over om iemand om te kopen.
3185,sadness,neutrality,neutrality,en ik wilde uitleggen waarom hij niet zou komen. Die sponsordeal speelde ook mee.
544,anger,neutrality,neutrality,En heb je nog ergens 'n fatsoenlijk pak liggen?
4454,sadness,fear,fear,"Schat, ik word... Ik word steeds verder de vernieling in geholpen als ik niet uitkijk. En wat is dat mens van plan? Wanneer is het genoeg voor haar? Wie is het?"
74,sadness,fear,fear,"Maar ik was zo bang. Ik dacht: Als ze dat m'n tante aandoet, wat staat me dan te wachten? Ik had het beloofd, ik durfde niet te weigeren."
4256,happiness,happiness,happiness,Jij haalt het ook.
1490,happiness,happiness,happiness,"Ja, ik ben er definitief van bevrijd."
3927,fear,fear,fear,"Ze redt het wel, toch? En Thijs ook?"
16,neutrality,sadness,neutrality,"Ik heb daaraan meegeholpen, daarom ben ik geinfiltreerd."
2646,fear,sadness,neutrality,Ik weet het niet.
5039,neutrality,neutrality,neutrality,Ik geef dit wel door aan Laura.
4899,surprise,fear,fear,"Ze maakt me af. Ze weet niks over 't casino en dat wil ik zo houden, ok?"
298,fear,neutrality,neutrality,Daar kom ik op terug.
82,neutrality,neutrality,neutrality,Ik heb een ontmoeting gehad met Bill Norris.
3393,neutrality,sadness,neutrality,Nee... andere prioriteiten stellen is misschien beter gezegd.
92,neutrality,neutrality,surprise,Er is toch wel een middeltje om 'r bij te brengen?
4369,neutrality,neutrality,happiness,Ik weet dat ze zeer binnenkort op de markt zullen komen.
96,surprise,neutrality,neutrality,Dat was in opdracht van Maddy. Zodat ik informatie kon verzamelen over Sanders Inc.
2999,anger,anger,anger,Jij maakt iedereen knettergek.
8107,fear,sadness,sadness,Hij was er net al en hij wordt helemaal gek van me.
1103,fear,sadness,neutrality,Ik ga naar het ziekenhuis.
115,disgust,neutrality,disgust,Weet je hoelang ik hier al ben? Hoeveel dagen en nachten? Ik weet het zelf niet eens meer. Ik wilde hier zijn als je bijkwam.
4451,surprise,happiness,happiness,"Ja, en daar wil ik je graag bij helpen."
1675,happiness,happiness,happiness,"Ja, ik wil."
311,neutrality,neutrality,neutrality,Maar eind van de maand hebben we mogelijkheden.
3807,fear,neutrality,neutrality,Thijs is waarschijnlijk een match maar...
5230,happiness,happiness,disgust,"Wat sta je daar nou, man? Kom hier."
2760,neutrality,neutrality,fear,Maar wat wij samen hebben… dat is toch sterk genoeg om samen verder te gaan?
1097,neutrality,neutrality,fear,We moeten het ze tegelijkertijd vertellen.
7964,neutrality,neutrality,neutrality,Ik vroeg 't me alleen maar af. Doe je nog andere dingen tegenwoordig dan schilderen?
1365,neutrality,sadness,sadness,"Ik wou dat ze van jou was, echt."
2951,neutrality,sadness,sadness,"Kijk, als ik kon... maakte ik 'n huwelijksreis met je van drie maanden."
785,anger,anger,sadness,"Ik sta achter jou, maar wil m'n vader niet laten vallen omdat ik 'm snap."
3061,surprise,surprise,surprise,Een abortus?
281,surprise,surprise,sadness,Ze heeft d'r leven op het spel gezet voor mij.
656,sadness,disgust,fear,En ze denkt dat ik het nog moeilijker krijg... als ik met hem trouw en hij straks dood is.
3983,happiness,happiness,happiness,Hoe je hiermee omgaat. Jij verandert elke tegenslag in iets positiefs.
3294,neutrality,fear,fear,"Ik denk 't echt, dus laten we daar maar van uitgaan, ok?"
614,happiness,happiness,happiness,Al is het alleen maar omdat jij veel betere genen hebt dan Thijs.
3319,neutrality,neutrality,disgust,"Dus je moet hem of negeren, of voor eens en voor altijd... duidelijk maken dat jullie niet voor niets exen zijn."
988,surprise,surprise,surprise,Ze nam het helemaal niet goed op. Ik heb echt iets heel anders gezien.
2023,disgust,happiness,fear,Ik kan haar niet in de steek laten.
2278,neutrality,neutrality,anger,Ze is evengoed mijn dochter als de jouwe.
549,neutrality,neutrality,neutrality,"Ja, nou, ik zal voor jullie duimen. Ik ga ervandoor, ik kom uit 'n nachtdienst, ik ga effe slapen."
2308,surprise,fear,fear,Wanneer is de dokter voor 't laatst geweest?
2174,sadness,sadness,happiness,"Lieverd, je hebt haar zo veel liefde gegeven."
70,fear,sadness,neutrality,"Daarna heb ik een tijd niks van 'r gehoord, ik was het al vergeten. Tot ik een keer thuiskwam en toen zat ze daar op de bank... en ze zei: Het is tijd. Ze was niet meer vriendelijk. Bikkelhard."
3435,neutrality,surprise,surprise,Dat had ik niet verwacht. En dan bedoel ik ook dat ik dat echt niet had verwacht.
1345,neutrality,neutrality,surprise,Waarom vertelt Sjoerd zoiets aan jou?
4351,neutrality,neutrality,neutrality,Wat is nu eigenlijk bewezen?
3231,sadness,fear,fear,Zijn levenswerk dreigt uit elkaar te spatten. En als hij nu ook nog z'n dochter verliest...
3853,surprise,neutrality,fear,Dat risico blijft even groot.
906,fear,fear,disgust,Ik zit ondergedoken. Dat zeg ik dus niet.
1329,anger,anger,anger,Dat weet ik toch zelf ook wel?
5866,anger,neutrality,happiness,Wij gaan even een biertje drinken.
1079,sadness,fear,sadness,Als ze geen nieuwe lever krijgt wel.
2849,neutrality,surprise,surprise,Wat is dit?
2877,disgust,happiness,disgust,Vertrokken. Hij vond het niet de moeite waard om iets te zeggen.
1554,anger,happiness,fear,"Ik snap dat 't lastig is, we hebben elkaar 'n tijdje niet gesproken. Maar dat betekent niet dat ik niet aan je hebt gedacht."
1915,neutrality,sadness,sadness,Misschien had ik meer interesse moeten tonen.
3894,anger,disgust,sadness,Het gaat wel weer.
4354,surprise,neutrality,neutrality,"De sluit niet uit dat Ludo opdracht heeft gegeven, maar... vooralsnog is niks bewezen."
7929,happiness,anger,anger,Als je niet zo idioot zou doen dan zou ik 't wel weten.
2689,surprise,sadness,sadness,"Sorry. Ik snap ook niet wat er gebeurd is tussen ons, het was zo..."
1213,sadness,anger,anger,Daar gaat 't nu niet om.
983,sadness,disgust,fear,"Hoe gaat het met de medicijnen, ben je misselijk?"
1147,happiness,happiness,neutrality,Ik jou ook.
1670,neutrality,neutrality,fear,Wat kan er allemaal gebeuren?
59,disgust,anger,disgust,Die je mishandelde. Of is dat ook gelogen?
534,neutrality,neutrality,neutrality,Van Sacha d'r studie.
375,anger,happiness,happiness,"Ik wil je vrouw worden, Olivier. Ik weet het zeker."
2669,neutrality,sadness,fear,"Er is een scan gemaakt. Er zijn uitzaaiingen naar z'n hoofd, met name de frontaalkwab."
2706,sadness,neutrality,fear,Hoe is het met Teddy?
525,surprise,surprise,surprise,Wat heb jij nou gedaan?
540,anger,happiness,happiness,Ja. Linda kan niet wachten om mijn vrouw te worden.
389,neutrality,fear,happiness,Sam heeft Olivier ten huwelijk gevraagd.
7878,anger,surprise,anger,Het is Valentijnsdag nota bene.
3498,anger,happiness,neutrality,"Meneer Eagle Meagle, met Kimberly Sanders."
2991,sadness,anger,anger,"Als jij geen fout had gemaakt, zaten wij nu niet in de shit."
2493,surprise,anger,disgust,Waarom loop je achter me aan? Ik wil niet met jou gezien worden.
8065,happiness,happiness,disgust,Promotie gemaakt?
2024,fear,surprise,anger,Dat vraag ik toch ook niet van je?
3170,anger,happiness,happiness,Maar het is in ieder geval fijn dat de keuken af is.
7648,sadness,anger,neutrality,Ik weet niet wat ik moet opschrijven.
1518,happiness,neutrality,neutrality,"Als je van gedachten verandert, je weet me te vinden."
2611,fear,sadness,disgust,Ik kan geen koffie meer zien. Jij?
834,sadness,neutrality,fear,Moeten wij nu niet als ouders van de aanstaande van alles bespreken?
2014,surprise,neutrality,fear,Is er misschien 'n plek waar ze graag samen naartoe gaan? Wat weet je precies? Is er 'n plek waar hij zich graag terugtrekt?
605,anger,anger,disgust,Ik word gek van jou. Ga naar huis.
2691,disgust,anger,surprise,Denk je echt dat ik 'm dit ga vertellen?
6434,surprise,happiness,fear,Betekent dat dat wij...
1863,sadness,sadness,neutrality,Laten we even gaan zitten.
100,sadness,fear,neutrality,Ik heb jouw identiteitsbewijs gekopieerd en dat van Bing.
1331,anger,anger,anger,Het gaat erom dat Thijs uit die kamer weg moet.
4193,surprise,neutrality,sadness,Nee. Daar heb ik de rust niet voor.
3371,anger,anger,fear,Je kan hem dit niet alleen laten doen.
4197,sadness,neutrality,neutrality,We kunnen beneden wachten. Voor als ze ons nodig hebben.
7514,sadness,sadness,sadness,"Ik ben nooit gestopt van haar te houden, maar dat is niet wederzijds."
2139,happiness,happiness,happiness,"Welterusten, lief. Je laatste nacht alleen."
140,surprise,fear,fear,Ik denk dat Sanders Inc. verwoesten nog maar het begin is.
3500,anger,anger,anger,Arrogante eikel.
68,surprise,fear,neutrality,Daarna is ze nog keer langs geweest. Om te zeggen dat ze ooit om een wederdienst zou vragen.
3080,happiness,sadness,sadness,Heel veel. We hebben nog maar zo weinig tijd samen.
4263,anger,happiness,neutrality,"Dus gebruik je fantasie rond etenstijd, en 's nachts natuurlijk."
3283,sadness,neutrality,neutrality,Ik probeerde van iets negatiefs iets positiefs te maken.
4421,neutrality,neutrality,neutrality,Ik heb 'n stroman geregeld. Ik zorg voor de financien.
7470,happiness,neutrality,anger,Het was toch de afspraak dat ik dit zou terugbetalen?
6373,neutrality,neutrality,neutrality,"De volgende is over een uur, dus ik heb nog even."
265,sadness,disgust,sadness,Ik ben moe.
3955,sadness,fear,fear,"Als hij doodgaat, is dat ook mijn schuld."
3535,anger,happiness,neutrality,"Geen idee, maar ik verzin wel iets leuks."
7696,anger,happiness,happiness,"En je bent er nu, op de mooiste dag van m'n leven."
4187,surprise,anger,neutrality,Hoe kan ik daar nou niet aan denken?
1117,anger,sadness,neutrality,Is het daarom uit tussen jullie?
51,fear,sadness,happiness,Ik hou net zo veel van jou als jij van mij.
3340,neutrality,neutrality,neutrality,Ik wil dat jij een succes wordt.
1652,sadness,sadness,anger,Je hebt zelfs m'n hele collectie gemist.
380,surprise,surprise,sadness,Dat was helemaal niet mijn bedoeling.
8028,fear,sadness,neutrality,"Serieus? Nee, natuurlijk, ik doe dat. Nee, ik waardeer juist enorm dat je mij dit laat doen. Niemand geeft Ludo liever 't laatste zetje dan ik."
3279,anger,anger,anger,En niet alleen dat van mij. Ook dat van m'n zusje. Denk je dat zij wil dat fans van mij haar aanspreken op straat?
1768,anger,neutrality,neutrality,Je gaat direct de grens over.
3321,surprise,neutrality,neutrality,Of je hebt iets gedaan waardoor hij denkt dat je hem nog wil.
1110,sadness,sadness,sadness,Ook niet voor heel even?
1209,anger,sadness,sadness,"Ja, dat bedoel ik. En... als ik 't over kon doen, dan zou ik 't anders doen, echt waar."
125,surprise,anger,neutrality,Hoe dan?
1093,surprise,anger,neutrality,Kunnen we in ieder geval met die screening beginnen?
560,sadness,neutrality,sadness,Waarom wil hij dan nu ineens niet meer?
3750,neutrality,neutrality,neutrality,Het alternatief is niet liegen.
169,fear,sadness,neutrality,Dat weet je toch? Omdat mijn tante me vroeg... Nee.
529,neutrality,neutrality,happiness,En bedankt ook dat we voorlopig bij jou mogen logeren.
195,surprise,fear,anger,"En toch is het zo. En omdat ik het niet wilde doen, heeft ze geprobeerd me te vermoorden."
1058,anger,anger,sadness,Ik had kunnen helpen. Ik had naar Hawaii toe kunnen gaan. Om er voor je te zijn.
1497,anger,happiness,neutrality,Gaan wij trouwjurken passen.
4222,neutrality,neutrality,neutrality,Pas op dat je niet met de hand in de blender komt. Dan doe je dit erbij.
4140,neutrality,neutrality,neutrality,Als hij ooit nog komt... een groene cappuccino.
4041,anger,anger,anger,Dan heb je iets om aan terug te denken. Ik hoop dat je kapotgaat aan de gedachte...
2284,neutrality,happiness,neutrality,Wil jij verse croissants?
1526,surprise,fear,neutrality,Ik vertel je alles als je mij helpt om haar terug te vinden.
3174,sadness,surprise,surprise,Wat? Hoe weten die mensen dat?
2938,neutrality,anger,neutrality,"Hee, niet zo ver weg. Dan moet hij zich te ver uitrekken."
4755,happiness,sadness,neutrality,"Nee, het moet een grote, sterke boom zijn, waar ik tegenaan kan leunen. En waar ik onder kan schuilen als het regent."
189,surprise,surprise,neutrality,Weet ik niet. Ik heb 'r nooit ontmoet.
1796,neutrality,anger,anger,Eerst sleur je me 't bed in en nu gaat 't te snel?
6185,happiness,happiness,surprise,Jullie zijn zo erg.
6406,surprise,sadness,neutrality,"Sorry, ik wilde je waarschuwen maar hij was al weg."
3674,sadness,neutrality,neutrality,Ook niet of zij het brein hierachter is. Misschien is ze ook maar een klein schakeltje.
2997,anger,anger,sadness,Wat schiet ik daarmee op? Aysen heeft net ons kindje weg laten halen.
124,surprise,fear,neutrality,Misschien wel.
639,sadness,sadness,neutrality,"Ja, dat weet ik."
2795,sadness,fear,fear,Ik weet dat ik uitzaaiingen naar m'n hoofd heb. Maar ik wil weten wat me te wachten staat.
381,neutrality,sadness,happiness,Ik hou van Anton.
4180,anger,anger,fear,Thijs gaat alles doen om Teddy van me af te pakken.
4276,sadness,disgust,anger,fuck. nee.
8370,sadness,anger,neutrality,"Het klinkt misschien lulliger dan 't is, maar dat is niet mijn probleem."
3208,neutrality,anger,neutrality,Laat me raden: Je hebt het te druk?
4859,surprise,fear,fear,Krijg je medicatie? Word je behandeld? Hoe gaat zoiets?
1664,neutrality,happiness,happiness,Ik wil alleen maar met je trouwen als je er zo uitziet.
848,happiness,happiness,neutrality,Ik hoor het nog wel. Pas goed op haar.
6545,anger,neutrality,neutrality,"We hadden 'n overeenkomst, we waren bezig met de voorwaarden."
2869,anger,happiness,neutrality,"Ze wil jong, excentriek talent een kans geven. Nu kennen mensen hem niet, maar hij gaat 't helemaal maken."
808,sadness,fear,neutrality,"Ja, ik doe het. Ik ga het nu doen, ik doe het nu. Denk ik."
5464,anger,happiness,neutrality,Heb ik jou al gezegd dat ik van voetbal hou en bier?
6008,sadness,disgust,anger,Waarom heb je me niet gebeld?
1301,happiness,happiness,fear,Maar... dit betekent toch dat je zwanger bent?
435,happiness,happiness,neutrality,"Nee, die moet nog duizend dingen regelen voor de bruiloft."
160,neutrality,happiness,happiness,"Ik hoorde dat je bijgekomen was, dus dacht: even kijken hoe 't met 'r is."
1606,happiness,happiness,happiness,"Je gaat trouwen, Sam. Je gaat gewoon echt trouwen."
1159,sadness,fear,neutrality,Sjoerd is haar vader.
2657,sadness,fear,sadness,"Ik deed het voor jou, omdat ik van je hou en je niet kwijt wil."
1668,surprise,fear,anger,"En wij doen aan tradities? shit, we hebben seks voor het huwelijk gehad."
6967,sadness,disgust,sadness,"Dit gaan we dus niet doen. Geen romantische toespelingen, geen zon in de zee zien zakken..."
5336,neutrality,happiness,happiness,Lekker koken.
